vivienda_id_sistema,familia_id_sistema,departamento,municipio,area,comuna_o_corregimiento,barrio_o_vereda,sector,ingresos_familiares,perros_machos,perros_hembras,perros_vacunados,perros_sin_vacunar,gatos_machos,gatos_hembras,gatos_vacunados,gatos_sin_vacunar,equinos,aves,porcinos,bovinos,otros,otros_nombre,presencia_roedores,perros_peligrosos,fecha_visita
41969,85076,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,1,1,2,0,1,1,2,0,0,0,0,0,0,,2 - No,,10/04/2022 12:00:00 AM
41972,85079,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/04/2022 12:00:00 AM
41974,85081,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/04/2022 12:00:00 AM
41976,85084,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,SANTA HELENA,SANTA HELENA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/03/2022 12:00:00 AM
41978,85086,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,SANTA HELENA,SANTA HELENA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/04/2022 12:00:00 AM
41981,85089,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,SANTA HELENA,SANTA HELENA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/04/2022 12:00:00 AM
41982,85094,66 - RISARALDA,001 - PEREIRA,U,FERROCARRIL,NACEDEROS I,NACEDEROS I,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/03/2022 12:00:00 AM
41984,85096,66 - RISARALDA,001 - PEREIRA,U,FERROCARRIL,NACEDEROS I,NACEDEROS I,999,0,0,0,0,1,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/03/2022 12:00:00 AM
41987,85103,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,1 - Si,2 - No,10/04/2022 12:00:00 AM
41988,85104,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,0,2,2,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/04/2022 12:00:00 AM
41989,85105,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/04/2022 12:00:00 AM
41990,85118,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/04/2022 12:00:00 AM
41993,85121,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/04/2022 12:00:00 AM
41994,85122,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/04/2022 12:00:00 AM
41996,85126,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,SANTA HELENA,SANTA HELENA,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
41997,85130,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,SANTA HELENA,SANTA HELENA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
41998,85131,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,SANTA HELENA,SANTA HELENA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42003,85137,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42004,85138,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42005,85139,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42006,85140,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42007,85141,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,1,0,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42008,85142,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,2 - No,10/05/2022 12:00:00 AM
42009,85143,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,1,0,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42010,85144,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42011,85145,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42012,85146,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42013,85147,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
